,PLOT_ID,SAMPLEDATE,Shannon,MINUTE,NO_INT,CLOUDS,WIND,TEMP,DATE,AIRTEMP_MEAN_DAY,CDD
34961,LOS10,2013-07-16,1.354880308480821,1.0,20.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34984,LOS10,2013-07-16,1.354880308480821,8.0,4.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
28731,LOM08,2013-07-16,3.672295225687487,2.0,10.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
28732,LOM08,2013-07-16,3.672295225687487,3.0,1.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
28733,LOM08,2013-07-16,3.672295225687487,11.0,1.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
26865,LOM03,2013-07-16,5.000304334186996,15.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
26864,LOM03,2013-07-16,5.000304334186996,13.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
34985,LOS10,2013-07-16,1.354880308480821,9.0,3.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34990,LOS10,2013-07-16,1.354880308480821,11.0,2.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34988,LOS10,2013-07-16,1.354880308480821,10.0,1.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
26863,LOM03,2013-07-16,5.000304334186996,12.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
34991,LOS10,2013-07-16,1.354880308480821,12.0,5.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34965,LOS10,2013-07-16,1.354880308480821,2.0,23.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34996,LOS10,2013-07-16,1.354880308480821,13.0,1.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34997,LOS10,2013-07-16,1.354880308480821,14.0,1.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34998,LOS10,2013-07-16,1.354880308480821,15.0,1.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
28974,LOM09,2013-07-16,3.0329249211823757,12.0,3.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
26862,LOM03,2013-07-16,5.000304334186996,11.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
34967,LOS10,2013-07-16,1.354880308480821,3.0,7.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
26856,LOM03,2013-07-16,5.000304334186996,1.0,3.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28972,LOM09,2013-07-16,3.0329249211823757,10.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28971,LOM09,2013-07-16,3.0329249211823757,9.0,2.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28970,LOM09,2013-07-16,3.0329249211823757,8.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28969,LOM09,2013-07-16,3.0329249211823757,3.0,3.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28968,LOM09,2013-07-16,3.0329249211823757,1.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
28975,LOM09,2013-07-16,3.0329249211823757,13.0,1.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
34970,LOS10,2013-07-16,1.354880308480821,4.0,7.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34980,LOS10,2013-07-16,1.354880308480821,7.0,1.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
26861,LOM03,2013-07-16,5.000304334186996,9.0,3.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
26858,LOM03,2013-07-16,5.000304334186996,7.0,3.0,S,ST,24.0,2013-07-16,18.1,257.59999999999997
34979,LOS10,2013-07-16,1.354880308480821,6.0,3.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34976,LOS10,2013-07-16,1.354880308480821,5.0,5.0,S,ST,28.0,2013-07-16,18.1,257.59999999999997
34211,LOS08,2013-07-16,3.7214341910154993,1.0,3.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34595,LOS09,2013-07-16,5.216030650880423,14.0,1.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34596,LOS09,2013-07-16,5.216030650880423,15.0,8.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34232,LOS08,2013-07-16,3.7214341910154993,14.0,4.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34228,LOS08,2013-07-16,3.7214341910154993,12.0,1.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34227,LOS08,2013-07-16,3.7214341910154993,11.0,8.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34572,LOS09,2013-07-16,5.216030650880423,1.0,8.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34224,LOS08,2013-07-16,3.7214341910154993,10.0,5.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34594,LOS09,2013-07-16,5.216030650880423,13.0,3.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34592,LOS09,2013-07-16,5.216030650880423,12.0,1.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34591,LOS09,2013-07-16,5.216030650880423,10.0,6.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34574,LOS09,2013-07-16,5.216030650880423,2.0,10.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34579,LOS09,2013-07-16,5.216030650880423,3.0,14.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34221,LOS08,2013-07-16,3.7214341910154993,6.0,1.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34585,LOS09,2013-07-16,5.216030650880423,5.0,2.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34586,LOS09,2013-07-16,5.216030650880423,6.0,9.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34587,LOS09,2013-07-16,5.216030650880423,7.0,8.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34588,LOS09,2013-07-16,5.216030650880423,9.0,1.0,S,ST,29.0,2013-07-16,18.1,257.59999999999997
34220,LOS08,2013-07-16,3.7214341910154993,5.0,6.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34214,LOS08,2013-07-16,3.7214341910154993,2.0,1.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34217,LOS08,2013-07-16,3.7214341910154993,4.0,2.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
34215,LOS08,2013-07-16,3.7214341910154993,3.0,6.0,S,ST,26.0,2013-07-16,18.1,257.59999999999997
8954,CPM09,2013-07-17,4.407380209060246,5.0,5.0,S,ST,23.0,2013-07-17,16.8,265.4
11861,CPS07,2013-07-17,1.0,4.0,9.0,S,ST,31.0,2013-07-17,16.8,265.4
3556,CPB01,2013-07-17,1.4439468751255213,12.0,13.0,PC,ST,21.0,2013-07-17,16.8,265.4
3558,CPB01,2013-07-17,1.4439468751255213,13.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
11863,CPS07,2013-07-17,1.0,5.0,13.0,S,ST,31.0,2013-07-17,16.8,265.4
12090,CPS08,2013-07-17,1.3833504056486075,2.0,7.0,S,ST,28.0,2013-07-17,16.8,265.4
3559,CPB01,2013-07-17,1.4439468751255213,14.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
11859,CPS07,2013-07-17,1.0,3.0,1.0,S,ST,31.0,2013-07-17,16.8,265.4
3554,CPB01,2013-07-17,1.4439468751255213,8.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
11857,CPS07,2013-07-17,1.0,2.0,5.0,S,ST,31.0,2013-07-17,16.8,265.4
3555,CPB01,2013-07-17,1.4439468751255213,11.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
3553,CPB01,2013-07-17,1.4439468751255213,7.0,17.0,PC,ST,21.0,2013-07-17,16.8,265.4
12114,CPS08,2013-07-17,1.3833504056486075,12.0,17.0,S,ST,28.0,2013-07-17,16.8,265.4
12110,CPS08,2013-07-17,1.3833504056486075,8.0,26.0,S,ST,28.0,2013-07-17,16.8,265.4
